src_ip,dst_ip,src_port,dst_port,protocol,length,flags,timestamp,inter_arrival,label
172.16.0.89,192.168.1.1,,,,28,,1747755084.315052,,icmp_flood
172.16.0.237,192.168.1.1,,,,28,,1747755084.315773,0.000720977783203125,icmp_flood
172.16.0.64,192.168.1.1,,,,28,,1747755084.316247,0.00047397613525390625,icmp_flood
172.16.0.38,192.168.1.1,,,,28,,1747755084.316676,0.00042891502380371094,icmp_flood
172.16.0.83,192.168.1.1,,,,28,,1747755084.317149,0.0004730224609375,icmp_flood
172.16.0.81,192.168.1.1,,,,28,,1747755084.317632,0.0004830360412597656,icmp_flood
172.16.0.236,192.168.1.1,,,,28,,1747755084.318194,0.0005619525909423828,icmp_flood
172.16.0.253,192.168.1.1,,,,28,,1747755084.318664,0.00047016143798828125,icmp_flood
172.16.0.36,192.168.1.1,,,,28,,1747755084.319139,0.0004749298095703125,icmp_flood
172.16.0.2,192.168.1.1,,,,28,,1747755084.31961,0.0004711151123046875,icmp_flood
172.16.0.138,192.168.1.1,,,,28,,1747755084.320077,0.0004668235778808594,icmp_flood
172.16.0.64,192.168.1.1,,,,28,,1747755084.320544,0.00046706199645996094,icmp_flood
172.16.0.109,192.168.1.1,,,,28,,1747755084.321007,0.0004630088806152344,icmp_flood
172.16.0.44,192.168.1.1,,,,28,,1747755084.32147,0.0004630088806152344,icmp_flood
172.16.0.232,192.168.1.1,,,,28,,1747755084.322,0.0005300045013427734,icmp_flood
172.16.0.5,192.168.1.1,,,,28,,1747755084.322431,0.000431060791015625,icmp_flood
172.16.0.208,192.168.1.1,,,,28,,1747755084.322914,0.00048279762268066406,icmp_flood
172.16.0.247,192.168.1.1,,,,28,,1747755084.323381,0.00046706199645996094,icmp_flood
172.16.0.75,192.168.1.1,,,,28,,1747755084.32385,0.00046896934509277344,icmp_flood
172.16.0.52,192.168.1.1,,,,28,,1747755084.324317,0.00046706199645996094,icmp_flood
172.16.0.151,192.168.1.1,,,,28,,1747755084.324783,0.0004661083221435547,icmp_flood
172.16.0.183,192.168.1.1,,,,28,,1747755084.325251,0.0004680156707763672,icmp_flood
172.16.0.96,192.168.1.1,,,,28,,1747755084.325741,0.0004899501800537109,icmp_flood
172.16.0.42,192.168.1.1,,,,28,,1747755084.326328,0.0005869865417480469,icmp_flood
172.16.0.225,192.168.1.1,,,,28,,1747755084.326807,0.00047898292541503906,icmp_flood
172.16.0.92,192.168.1.1,,,,28,,1747755084.327283,0.00047588348388671875,icmp_flood
172.16.0.33,192.168.1.1,,,,28,,1747755084.32773,0.0004470348358154297,icmp_flood
172.16.0.161,192.168.1.1,,,,28,,1747755084.3282,0.00047016143798828125,icmp_flood
172.16.0.238,192.168.1.1,,,,28,,1747755084.328693,0.0004928112030029297,icmp_flood
172.16.0.193,192.168.1.1,,,,28,,1747755084.329172,0.00047898292541503906,icmp_flood
172.16.0.136,192.168.1.1,,,,28,,1747755084.329651,0.0004792213439941406,icmp_flood
172.16.0.199,192.168.1.1,,,,28,,1747755084.330252,0.0006008148193359375,icmp_flood
172.16.0.251,192.168.1.1,,,,28,,1747755084.330738,0.00048613548278808594,icmp_flood
172.16.0.149,192.168.1.1,,,,28,,1747755084.331396,0.0006580352783203125,icmp_flood
172.16.0.201,192.168.1.1,,,,28,,1747755084.331868,0.0004718303680419922,icmp_flood
172.16.0.225,192.168.1.1,,,,28,,1747755084.332336,0.0004680156707763672,icmp_flood
172.16.0.162,192.168.1.1,,,,28,,1747755084.33281,0.00047397613525390625,icmp_flood
172.16.0.220,192.168.1.1,,,,28,,1747755084.333289,0.00047898292541503906,icmp_flood
172.16.0.68,192.168.1.1,,,,28,,1747755084.33376,0.0004711151123046875,icmp_flood
172.16.0.91,192.168.1.1,,,,28,,1747755084.334261,0.0005009174346923828,icmp_flood
172.16.0.237,192.168.1.1,,,,28,,1747755084.334733,0.00047206878662109375,icmp_flood
172.16.0.115,192.168.1.1,,,,28,,1747755084.335202,0.00046896934509277344,icmp_flood
172.16.0.222,192.168.1.1,,,,28,,1747755084.335635,0.0004329681396484375,icmp_flood
172.16.0.50,192.168.1.1,,,,28,,1747755084.336106,0.0004711151123046875,icmp_flood
172.16.0.139,192.168.1.1,,,,28,,1747755084.336584,0.0004780292510986328,icmp_flood
172.16.0.119,192.168.1.1,,,,28,,1747755084.337059,0.0004749298095703125,icmp_flood
172.16.0.208,192.168.1.1,,,,28,,1747755084.337537,0.0004780292510986328,icmp_flood
172.16.0.252,192.168.1.1,,,,28,,1747755084.338021,0.0004839897155761719,icmp_flood
172.16.0.17,192.168.1.1,,,,28,,1747755084.338507,0.0004858970642089844,icmp_flood
172.16.0.181,192.168.1.1,,,,28,,1747755084.338988,0.0004811286926269531,icmp_flood
172.16.0.105,192.168.1.1,,,,28,,1747755084.339455,0.0004668235778808594,icmp_flood
172.16.0.232,192.168.1.1,,,,28,,1747755084.339888,0.00043320655822753906,icmp_flood
172.16.0.220,192.168.1.1,,,,28,,1747755084.340361,0.0004730224609375,icmp_flood
172.16.0.152,192.168.1.1,,,,28,,1747755084.340838,0.000476837158203125,icmp_flood
172.16.0.90,192.168.1.1,,,,28,,1747755084.341315,0.00047707557678222656,icmp_flood
172.16.0.146,192.168.1.1,,,,28,,1747755084.341797,0.0004820823669433594,icmp_flood
172.16.0.24,192.168.1.1,,,,28,,1747755084.342356,0.0005588531494140625,icmp_flood
172.16.0.63,192.168.1.1,,,,28,,1747755084.342946,0.0005900859832763672,icmp_flood
172.16.0.158,192.168.1.1,,,,28,,1747755084.343426,0.0004799365997314453,icmp_flood
172.16.0.200,192.168.1.1,,,,28,,1747755084.343901,0.0004749298095703125,icmp_flood
172.16.0.231,192.168.1.1,,,,28,,1747755084.344371,0.00047016143798828125,icmp_flood
172.16.0.209,192.168.1.1,,,,28,,1747755084.344839,0.0004680156707763672,icmp_flood
172.16.0.181,192.168.1.1,,,,28,,1747755084.345322,0.00048279762268066406,icmp_flood
172.16.0.237,192.168.1.1,,,,28,,1747755084.345747,0.00042510032653808594,icmp_flood
172.16.0.64,192.168.1.1,,,,28,,1747755084.34632,0.0005729198455810547,icmp_flood
172.16.0.133,192.168.1.1,,,,28,,1747755084.346771,0.00045108795166015625,icmp_flood
172.16.0.189,192.168.1.1,,,,28,,1747755084.34724,0.00046896934509277344,icmp_flood
172.16.0.2,192.168.1.1,,,,28,,1747755084.347722,0.0004820823669433594,icmp_flood
172.16.0.160,192.168.1.1,,,,28,,1747755084.348191,0.00046896934509277344,icmp_flood
172.16.0.114,192.168.1.1,,,,28,,1747755084.348771,0.0005800724029541016,icmp_flood
172.16.0.195,192.168.1.1,,,,28,,1747755084.349254,0.00048279762268066406,icmp_flood
172.16.0.131,192.168.1.1,,,,28,,1747755084.349803,0.0005490779876708984,icmp_flood
172.16.0.49,192.168.1.1,,,,28,,1747755084.350292,0.0004889965057373047,icmp_flood
172.16.0.214,192.168.1.1,,,,28,,1747755084.350789,0.0004971027374267578,icmp_flood
172.16.0.155,192.168.1.1,,,,28,,1747755084.351264,0.0004749298095703125,icmp_flood
172.16.0.168,192.168.1.1,,,,28,,1747755084.351732,0.0004680156707763672,icmp_flood
172.16.0.21,192.168.1.1,,,,28,,1747755084.352211,0.00047898292541503906,icmp_flood
172.16.0.102,192.168.1.1,,,,28,,1747755084.35265,0.00043892860412597656,icmp_flood
172.16.0.120,192.168.1.1,,,,28,,1747755084.353133,0.0004830360412597656,icmp_flood
172.16.0.233,192.168.1.1,,,,28,,1747755084.353604,0.0004711151123046875,icmp_flood
172.16.0.100,192.168.1.1,,,,28,,1747755084.354111,0.0005068778991699219,icmp_flood
172.16.0.32,192.168.1.1,,,,28,,1747755084.354593,0.0004820823669433594,icmp_flood
172.16.0.38,192.168.1.1,,,,28,,1747755084.35506,0.00046706199645996094,icmp_flood
172.16.0.203,192.168.1.1,,,,28,,1747755084.355524,0.0004639625549316406,icmp_flood
172.16.0.77,192.168.1.1,,,,28,,1747755084.355982,0.00045800209045410156,icmp_flood
172.16.0.191,192.168.1.1,,,,28,,1747755084.356454,0.0004718303680419922,icmp_flood
172.16.0.38,192.168.1.1,,,,28,,1747755084.35691,0.00045609474182128906,icmp_flood
172.16.0.174,192.168.1.1,,,,28,,1747755084.357327,0.0004169940948486328,icmp_flood
172.16.0.23,192.168.1.1,,,,28,,1747755084.357792,0.0004649162292480469,icmp_flood
172.16.0.124,192.168.1.1,,,,28,,1747755084.35828,0.00048804283142089844,icmp_flood
172.16.0.9,192.168.1.1,,,,28,,1747755084.358745,0.00046515464782714844,icmp_flood
172.16.0.152,192.168.1.1,,,,28,,1747755084.359255,0.0005099773406982422,icmp_flood
172.16.0.175,192.168.1.1,,,,28,,1747755084.359847,0.0005919933319091797,icmp_flood
172.16.0.185,192.168.1.1,,,,28,,1747755084.360372,0.0005249977111816406,icmp_flood
172.16.0.181,192.168.1.1,,,,28,,1747755084.360848,0.00047588348388671875,icmp_flood
172.16.0.221,192.168.1.1,,,,28,,1747755084.361337,0.0004889965057373047,icmp_flood
172.16.0.206,192.168.1.1,,,,28,,1747755084.361838,0.0005011558532714844,icmp_flood
172.16.0.94,192.168.1.1,,,,28,,1747755084.36237,0.0005319118499755859,icmp_flood
172.16.0.167,192.168.1.1,,,,28,,1747755084.362842,0.00047206878662109375,icmp_flood
172.16.0.85,192.168.1.1,,,,28,,1747755084.363318,0.00047588348388671875,icmp_flood
172.16.0.143,192.168.1.1,,,,28,,1747755084.363813,0.0004949569702148438,icmp_flood
172.16.0.217,192.168.1.1,,,,28,,1747755084.364389,0.000576019287109375,icmp_flood
172.16.0.117,192.168.1.1,,,,28,,1747755084.364855,0.0004661083221435547,icmp_flood
